"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Create Eco News with invalid data","0","0","","0"
"0","GreenCity API","0","Email API","1","0","Eco News Notifications","0"
"1","","0","Friends","0","0","Friend Requests - Search","0"
"1","","0","Eco News","0","0","Create Eco News","0"
"0","","0","Eco News","1","0","Eco News page - Smoke","0"
"0","","0","Find Friend Functionality","1","0","","0"
"0","","0","Saved Abstract page tabs navigation","1","0","","0"
"0","GreenCity API","0","Email API","1","0","Scheduled Notifications","0"
"0","","0","Daily Habits","1","0","Tracking habit progress","0"
"0","","0","Social Network Images","1","0","Get all images - forbidden","0"
"0","","0","Authentication","1","0","User Login","0"
"0","","0","Saved Places","1","0","Switch to Places tab","0"
"1","","0","Friends page tabs navigation","0","0","","0"
